Name,Date Of Birth,Country,Number_200m,Number_first_50m,Number_second_50m,Number_third_50m,gender,Stroke
"STEPHENS, Laura Kathleen",1999,GBR,02:09.1,29.18,32.81,33.22,f,Freestyle
"JAKABOS, Zsuzsanna",1989,HUN,02:09.4,29.13,32.62,33.68,f,Freestyle
"BACH, Helena Rosendahl",2000,DEN,02:09.4,30.09,32.31,33.19,f,Freestyle
"CHIMROVA, Svetlana",1996,RUS,02:09.5,29.18,33.11,33.49,f,Freestyle
"MACINNES, Keanna",2001,GBR,02:09.8,29,33.08,33.64,f,Freestyle
"CUSINATO, Ilaria",1999,ITA,02:10.2,29.31,32.88,33.61,f,Freestyle
"MONTEIRO, Ana Catarina",1993,POR,02:10.7,29.51,33.3,33.82,f,Freestyle
"HATHAZI, Dora",2003,HUN,02:10.8,29.53,33.39,33.53,f,Freestyle
"DEMLER, Kathrin",1996,GER,02:10.8,29.63,33.02,33.97,f,Freestyle
"USTUNDAG, Nida Eliz",1996,TUR,02:11.0,29.96,33.2,33.74,f,Freestyle
"LARGE, Emily",2001,GBR,02:11.1,29.68,33.13,34.11,f,Freestyle
"THOMAS, Alys",1990,GBR,02:11.5,29.09,32.75,33.84,f,Freestyle
"CRISPINO, Antonella",2003,ITA,02:11.8,29.46,33.85,34.1,f,Freestyle
"NAZIEBLO, Klaudia",1993,POL,02:12.8,29.24,33.18,33.71,f,Freestyle
"HUFNAGL, Claudia",1996,AUT,02:12.9,30.12,33.34,34.04,f,Freestyle
"TORRONTEGUI GUTIERREZ, Carlota",2003,ESP,02:13.3,29.47,34.09,34.28,f,Freestyle
"NTOUNTOUNAKI, Anna",1995,GRE,02:14.7,28.94,34.17,35.59,f,Freestyle
"KAJTAZ, Amina",1996,BIH,02:15.0,29.69,33.21,34.16,f,Freestyle
"BORER, Fanny",1996,SUI,02:15.8,30.7,34.38,35.39,f,Freestyle
"LAHTINEN, Laura",2003,FIN,02:16.1,30.22,34.17,34.99,f,Freestyle
"KNOP, Aleksandra",2003,POL,02:16.1,29.75,34.35,35.36,f,Freestyle
"HRSTO, Iva",2004,CRO,02:17.0,31.32,34.72,35.23,f,Freestyle
"SCHAAD, Tamara",2002,SUI,02:17.5,30.41,34.43,36.28,f,Freestyle
"KOSTROMINA, Viktoriya",2004,UKR,02:19.2,30.96,34.76,36.16,f,Freestyle
"AVDIC, Iman",2007,BIH,02:23.7,30.68,35.48,37.5,f,Freestyle
"ROCK, Katie",2003,ALB,02:30.1,32.89,37.49,39.29,f,Freestyle
"MARKOVA, Anastasia",2005,RUS,02:08.4,28.88,32.97,33.29,f,Freestyle
"PUDAR, Lana",2006,BIH,02:09.6,28.94,32.68,34.12,f,Freestyle
"DELMAS, Lucie",2005,FRA,02:10.4,28.81,32.55,33.82,f,Freestyle
"NYIRADI, Reka",2004,HUN,02:11.1,29.48,33.38,33.66,f,Freestyle
"CSULAK, Lia",2005,HUN,02:11.8,30.29,33.47,33.82,f,Freestyle
"SARTORI, Sofia",2004,ITA,02:12.1,29.76,33.42,33.99,f,Freestyle
"KOSTROMINA, Viktoriya",2004,UKR,02:12.9,29.97,33.4,34.35,f,Freestyle
"LUNINA, Daria",2004,RUS,02:14.9,29.63,33.63,34.52,f,Freestyle
"MARKOVA, Anastasia",2005,RUS,02:09.9,28.74,33.51,33.86,f,Freestyle
"PUDAR, Lana",2006,BIH,02:10.7,29.16,33.13,34.22,f,Freestyle
"NYIRADI, Reka",2004,HUN,02:10.9,28.99,34.01,33.81,f,Freestyle
"CSULAK, Lia",2005,HUN,02:11.9,30.11,33.74,34.02,f,Freestyle
"SARTORI, Sofia",2004,ITA,02:12.1,29.72,33.89,33.9,f,Freestyle
"DELMAS, Lucie",2005,FRA,02:12.2,29.34,33.52,34.41,f,Freestyle
"LUNINA, Daria",2004,RUS,02:13.6,30.29,34.17,34.94,f,Freestyle
"KOSTROMINA, Viktoriya",2004,UKR,02:13.6,29.88,34.01,34.36,f,Freestyle
"GOODWIN, Isabelle",2004,GBR,02:14.1,29.87,34.3,35.32,f,Freestyle
"HURTADO SIRERA, Carla",2004,ESP,02:14.4,29.94,33.58,35.09,f,Freestyle
"FREEMAN, Sophie",2004,GBR,02:14.5,30.31,34.36,35.09,f,Freestyle
"CUNHA, Mariana Pacheco",2004,POR,02:14.5,29.1,34.74,34.41,f,Freestyle
"ZAMBELLI, Giulia",2005,ITA,02:14.8,31.06,34.25,34.58,f,Freestyle
"YALCIN, Mehlika Kuzeh",2005,TUR,02:15.7,30.01,34.59,35.37,f,Freestyle
"SHTEYMAN, Sharon",2005,ISR,02:17.7,31.09,35.31,35.98,f,Freestyle
"TICHY, Anastasia",2004,AUT,02:17.9,30.13,35.25,36.17,f,Freestyle
"MARKOVA, Anastasia",2005,RUS,02:10.6,29.12,33.38,34.19,f,Freestyle
"DELMAS, Lucie",2005,FRA,02:12.9,29.21,33.02,34.83,f,Freestyle
"CSULAK, Lia",2005,HUN,02:12.9,30.49,33.68,34.52,f,Freestyle
"LUNINA, Daria",2004,RUS,02:14.0,30.19,34.52,34.3,f,Freestyle
"NYIRADI, Reka",2004,HUN,02:14.1,29.37,34.89,35.03,f,Freestyle
"SARTORI, Sofia",2004,ITA,02:14.3,29.83,33.96,35.2,f,Freestyle
"HURTADO SIRERA, Carla",2004,ESP,02:14.5,30.03,34.08,34.96,f,Freestyle
"FREEMAN, Sophie",2004,GBR,02:14.6,29.79,34.29,35.29,f,Freestyle
"PUDAR, Lana",2006,BIH,02:14.9,29.8,34.06,35.6,f,Freestyle
"KOSTROMINA, Viktoriya",2004,UKR,02:15.2,30.17,34.28,35.21,f,Freestyle
"YALCIN, Mehlika Kuzeh",2005,TUR,02:15.7,29.76,33.59,35.78,f,Freestyle
"ZAMBELLI, Giulia",2005,ITA,02:16.0,29.7,34.3,35.83,f,Freestyle
"SHTEYMAN, Sharon",2005,ISR,02:16.0,31.5,34.73,34.93,f,Freestyle
"GOODWIN, Isabelle",2004,GBR,02:16.0,29.33,33.56,36.16,f,Freestyle
"CUNHA, Mariana Pacheco",2004,POR,02:16.4,29.8,34.4,35.49,f,Freestyle
"TICHY, Anastasia",2004,AUT,02:16.9,30.09,34.9,36.07,f,Freestyle
"BORRELLI, Paola",2005,ITA,02:16.9,29.77,34.05,36.32,f,Freestyle
"OPHIR, Rakah",2005,ISR,02:17.0,30.64,34.69,35.23,f,Freestyle
"KLUSEK, Aleksandra",2005,POL,02:17.4,30.41,34.09,35.45,f,Freestyle
"LORENTZ, Helene Torsvik",2004,NOR,02:18.0,28.95,33.75,35.64,f,Freestyle
"GRABHER, Annina Fatma",2004,SUI,02:18.0,30.76,34.84,34.82,f,Freestyle
"KASVIO, Louna",2006,FIN,02:18.4,30.52,35.43,35.78,f,Freestyle
"AVDIC, Iman",2007,BIH,02:18.6,30.59,34.86,36.85,f,Freestyle
"PAELSI, Lotta",2004,FIN,02:18.8,30.91,35.46,36.05,f,Freestyle
"TANRIVERDI, Duru",2004,TUR,02:19.0,31.69,35.68,35.59,f,Freestyle
"NIKOLAEVA, Kalina",2004,BUL,02:19.8,31.3,35.07,35.86,f,Freestyle
"PRIMC, Tia",2004,SLO,02:20.1,30.87,35.06,36.73,f,Freestyle
"LOJEWSKI, Isabella",2004,POL,02:20.6,31.39,35.89,36.13,f,Freestyle
"HRSTO, Iva",2004,CRO,02:20.7,31.94,36.08,35.91,f,Freestyle
"DOLAN, Asta Poulsen",2004,DEN,02:20.9,31.35,35.55,36.4,f,Freestyle
"CARABINI, Chiara",2004,SMR,02:23.0,31.55,35.27,37.14,f,Freestyle
"SOERENSEN, Viktoria Freja",2004,DEN,02:23.2,31.76,35.9,37.01,f,Freestyle
"KERSEVICIUTE, Radvile",2005,LTU,02:23.5,32.04,35.64,37.18,f,Freestyle
"CAMENZULI, Kristina",2004,MLT,02:25.9,31.45,36.62,37.9,f,Freestyle
"PASAKINSKAITE, Erika",2006,LTU,02:26.3,30.67,36.01,38.82,f,Freestyle
"PHELPS, Michael",1985,USA,01:53.4,24.85,28.5,29.33,m,Freestyle
"SAKAI, Masato",1995,JPN,01:53.4,25.37,28.98,29.38,m,Freestyle
"KENDERESI, Tamas",1996,HUN,01:53.6,25.42,28.76,29.43,m,Freestyle
"LE CLOS, Chad Guy Bertrand",1992,RSA,01:54.1,25.06,28.81,29.48,m,Freestyle
"SETO, Daiya",1994,JPN,01:54.8,25.06,29.18,29.34,m,Freestyle
"BROMER, Viktor B.",1993,DEN,01:55.6,25.6,29.41,29.26,m,Freestyle
"CSEH, Laszlo",1985,HUN,01:56.2,24.77,29.01,29.81,m,Freestyle
"CROENEN, Louis",1994,BEL,01:57.0,25.78,29.86,30.38,m,Freestyle
"KENDERESI, Tamas",1996,HUN,01:54.0,25.95,29.14,29.83,m,Freestyle
"PHELPS, Michael",1985,USA,01:54.1,25.43,29.07,29.78,m,Freestyle
"CSEH, Laszlo",1985,HUN,01:55.2,25.55,29.53,29.97,m,Freestyle
"LE CLOS, Chad Guy Bertrand",1992,RSA,01:55.2,25.7,30.34,29.08,m,Freestyle
"SETO, Daiya",1994,JPN,01:55.3,25.8,29.38,29.93,m,Freestyle
"SAKAI, Masato",1995,JPN,01:55.3,25.67,29.44,29.84,m,Freestyle
"BROMER, Viktor B.",1993,DEN,01:55.6,26.57,29.47,30.09,m,Freestyle
"CROENEN, Louis",1994,BEL,01:56.0,25.77,29.87,30.11,m,Freestyle
"IRVINE, Grant",1991,AUS,01:56.1,25.87,29.51,30.51,m,Freestyle
"ZHENG WEN, Quah",1996,SGP,01:56.1,25.91,29.73,29.51,m,Freestyle
"KOPTELOV, Evgeny",1993,RUS,01:56.5,26.14,29.32,30.76,m,Freestyle
"SJOEDIN, Simon",1986,SWE,01:56.7,26.07,29.78,30.44,m,Freestyle
"DE DEUS, Leonardo",1991,BRA,01:56.8,25.93,29.73,30,m,Freestyle
"MARCIO, Kaio",1984,BRA,01:57.5,25.93,29.04,30.77,m,Freestyle
"GOMEZ NORIEGA, Jonathan Davi",1996,COL,01:57.5,26.35,29.26,30.73,m,Freestyle
"LI, Zhuhao",1999,CHN,01:57.6,25.56,29.45,30.84,m,Freestyle
"KENDERESI, Tamas",1996,HUN,01:54.7,25.92,29.45,30.08,m,Freestyle
"CSEH, Laszlo",1985,HUN,01:55.1,25.51,30.03,30.17,m,Freestyle
"LE CLOS, Chad Guy Bertrand",1992,RSA,01:55.6,25.56,29.49,30.09,m,Freestyle
"IRVINE, Grant",1991,AUS,01:55.6,25.7,29.34,30.21,m,Freestyle
"PHELPS, Michael",1985,USA,01:55.7,25.69,29.63,30.08,m,Freestyle
"SAKAI, Masato",1995,JPN,01:55.8,25.66,29.46,30.12,m,Freestyle
"BROMER, Viktor B.",1993,DEN,01:55.8,25.93,29.79,29.73,m,Freestyle
"SETO, Daiya",1994,JPN,01:55.8,25.39,29.78,30.3,m,Freestyle
"DE DEUS, Leonardo",1991,BRA,01:56.0,25.9,28.93,30.39,m,Freestyle
"ZHENG WEN, Quah",1996,SGP,01:56.0,26.39,29.23,29.78,m,Freestyle
"KOPTELOV, Evgeny",1993,RUS,01:56.1,26.1,29.86,30.35,m,Freestyle
"MARCIO, Kaio",1984,BRA,01:56.5,26.3,29.24,30.43,m,Freestyle
"SJOEDIN, Simon",1986,SWE,01:56.5,25.92,29.2,30.54,m,Freestyle
"CROENEN, Louis",1994,BEL,01:56.5,26.06,29.79,30.29,m,Freestyle
"GOMEZ NORIEGA, Jonathan Davi",1996,COL,01:56.6,26.29,28.89,30.42,m,Freestyle
"LI, Zhuhao",1999,CHN,01:56.7,25.95,29.72,30.45,m,Freestyle
"SWITKOWSKI, Jan",1994,POL,01:56.7,26.16,29.23,30.35,m,Freestyle
"DIMITRIADIS, Stefanos",1989,GRE,01:56.8,26.49,29.46,30.9,m,Freestyle
"MORGAN, David",1994,AUS,01:56.8,25.36,30.27,30.23,m,Freestyle
"SHIELDS, Thomas A",1991,USA,01:56.9,25.82,29.47,30.26,m,Freestyle
"PERALTA GALLEGO, Carlos",1994,ESP,01:57.0,26.01,29.64,30.11,m,Freestyle
"ZBOGAR, Robert",1989,SLO,01:57.0,25.77,30.24,29.78,m,Freestyle
"ROUSSEAU, Sebastien D",1990,RSA,01:57.3,26.02,29.72,30.17,m,Freestyle
"PAKHOMOV, Daniil",1998,RUS,01:57.4,26.08,28.95,30.94,m,Freestyle
"COELHO, Jordan",1992,FRA,01:58.6,26.29,30.41,30.56,m,Freestyle
"NEVO, Gal",1987,ISR,01:58.6,26.51,30.24,30.88,m,Freestyle
"WU, Yuhang",1997,CHN,01:59.0,27.23,29.8,30.91,m,Freestyle
"PRAKASH, Sajan",1993,IND,01:59.4,26.48,30.44,30.71,m,Freestyle
"ASHBY, Bradlee L",1995,NZL,02:01.2,26.37,31.03,30.99,m,Freestyle
"BELMONTE GARCIA, Mireia",1990,ESP,02:04.9,28.48,31.52,32.17,f,Freestyle
"GROVES, Madeline",1995,AUS,02:04.9,27.49,32.05,32.77,f,Freestyle
"HOSHI, Natsumi",1990,JPN,02:05.2,28.78,32.01,32.12,f,Freestyle
"ADAMS, Cammile",1991,USA,02:05.9,29.55,31.72,32.68,f,Freestyle
"ZHOU, Yilin",1992,CHN,02:07.4,28.72,32.86,32.52,f,Freestyle
"ZHANG, Yufei",1998,CHN,02:07.4,28.48,33.25,32.41,f,Freestyle
"FLICKINGER, Hali A",1994,USA,02:07.7,29.33,32.14,32.82,f,Freestyle
"THROSSELL, Brianna",1996,AUS,02:07.9,28.89,32.68,32.7,f,Freestyle
"GROVES, Madeline",1995,AUS,02:05.7,27.35,32.06,33.03,f,Freestyle
"BELMONTE GARCIA, Mireia",1990,ESP,02:06.1,28.86,32.09,32.47,f,Freestyle
"ZHOU, Yilin",1992,CHN,02:06.5,28.48,32.61,32.51,f,Freestyle
"HOSHI, Natsumi",1990,JPN,02:06.7,29.21,32.46,32.74,f,Freestyle
"ZHANG, Yufei",1998,CHN,02:07.0,28.52,32.55,32.9,f,Freestyle
"FLICKINGER, Hali A",1994,USA,02:07.0,28.75,31.73,33.2,f,Freestyle
"THROSSELL, Brianna",1996,AUS,02:07.2,28.73,32.5,32.66,f,Freestyle
"ADAMS, Cammile",1991,USA,02:07.2,29,32.17,32.96,f,Freestyle
"HASEGAWA, Suzuka",2000,JPN,02:07.3,29.13,32.04,33.04,f,Freestyle
"SZILAGYI, Liliana",1996,HUN,02:07.3,28.47,32.82,32.91,f,Freestyle
"HENTKE, Franziska",1989,GER,02:07.7,28.84,32.45,32.96,f,Freestyle
"VAN BERKEL, Martina Eva",1989,SUI,02:07.9,29.66,32.81,32.97,f,Freestyle
"AN, Sehyeon",1995,KOR,02:08.7,28.76,33.02,33.1,f,Freestyle
"POLIERI, Alessia",1994,ITA,02:09.4,29.66,33.14,32.99,f,Freestyle
"KLINAR, Anja",1988,SLO,02:09.4,29.26,32.73,33.34,f,Freestyle
"LACROIX, Audrey",1983,CAN,02:10.0,29.2,32.63,33.91,f,Freestyle
"BELMONTE GARCIA, Mireia",1990,ESP,02:06.6,29.08,32.47,32.55,f,Freestyle
"FLICKINGER, Hali A",1994,USA,02:06.7,28.76,31.86,32.4,f,Freestyle
"ADAMS, Cammile",1991,USA,02:06.7,29.11,32.15,32.56,f,Freestyle
"SZILAGYI, Liliana",1996,HUN,02:07.0,28.81,32.13,33.13,f,Freestyle
"GROVES, Madeline",1995,AUS,02:07.0,27.64,32.41,33.44,f,Freestyle
"HASEGAWA, Suzuka",2000,JPN,02:07.4,28.79,32.58,32.76,f,Freestyle
"HOSHI, Natsumi",1990,JPN,02:07.4,28.81,32.47,32.68,f,Freestyle
"ZHANG, Yufei",1998,CHN,02:07.6,28.64,32.98,32.69,f,Freestyle
"HENTKE, Franziska",1989,GER,02:07.6,28.86,32.42,33.37,f,Freestyle
"THROSSELL, Brianna",1996,AUS,02:07.8,28.92,33.03,32.54,f,Freestyle
"VAN BERKEL, Martina Eva",1989,SUI,02:08.0,29.36,33.02,32.52,f,Freestyle
"ZHOU, Yilin",1992,CHN,02:08.2,28.6,33.36,32.69,f,Freestyle
"AN, Sehyeon",1995,KOR,02:08.4,28.77,32.6,33.55,f,Freestyle
"KLINAR, Anja",1988,SLO,02:08.4,28.79,32.76,33.01,f,Freestyle
"POLIERI, Alessia",1994,ITA,02:08.9,29.66,32.9,33.16,f,Freestyle
"LACROIX, Audrey",1983,CAN,02:09.2,28.89,32.89,32.77,f,Freestyle
"PIROZZI, Stefania",1993,ITA,02:09.4,30.27,32.4,33.44,f,Freestyle
"GRANGEON, Lara",1991,FRA,02:09.7,29.82,32.61,33.86,f,Freestyle
"WILLMOTT, Aimee",1993,GBR,02:09.7,29.07,32.83,33.24,f,Freestyle
"IGNACIO SORRIBES, Judit",1994,ESP,02:09.8,29.05,33.07,33.17,f,Freestyle
"PARK, Jinyoung",1997,KOR,02:10.0,30.05,33.31,32.97,f,Freestyle
"USTUNDAG, Nida Eliz",1996,TUR,02:10.0,30.19,33.11,33.38,f,Freestyle
"PINTO, Andreina",1991,VEN,02:10.6,29.87,32.82,33.53,f,Freestyle
"MARANHAO MELO, Joanna",1987,BRA,02:10.7,29.83,32.54,34.3,f,Freestyle
"GASSON, Helena D",1994,NZL,02:12.2,29.66,33.87,33.59,f,Freestyle
"BARDACH, Virginia",1992,ARG,02:13.6,30.16,33.77,34.11,f,Freestyle
"FAR NUNEZ, Maria Fernanda",1998,PAN,02:23.9,31.03,36.12,38.15,f,Freestyle
"PHELPS, Michael",1985,USA,01:53.4,24.85,28.5,29.33,m,Freestyle
"SAKAI, Masato",1995,JPN,01:53.4,25.37,28.98,29.38,m,Freestyle
"KENDERESI, Tamas",1996,HUN,01:53.6,25.42,28.76,29.43,m,Freestyle
"LE CLOS, Chad Guy Bertrand",1992,RSA,01:54.1,25.06,28.81,29.48,m,Freestyle
"SETO, Daiya",1994,JPN,01:54.8,25.06,29.18,29.34,m,Freestyle
"BROMER, Viktor B.",1993,DEN,01:55.6,25.6,29.41,29.26,m,Freestyle
"CSEH, Laszlo",1985,HUN,01:56.2,24.77,29.01,29.81,m,Freestyle
"CROENEN, Louis",1994,BEL,01:57.0,25.78,29.86,30.38,m,Freestyle
"KENDERESI, Tamas",1996,HUN,01:54.0,25.95,29.14,29.83,m,Freestyle
"PHELPS, Michael",1985,USA,01:54.1,25.43,29.07,29.78,m,Freestyle
"CSEH, Laszlo",1985,HUN,01:55.2,25.55,29.53,29.97,m,Freestyle
"LE CLOS, Chad Guy Bertrand",1992,RSA,01:55.2,25.7,30.34,29.08,m,Freestyle
"SETO, Daiya",1994,JPN,01:55.3,25.8,29.38,29.93,m,Freestyle
"SAKAI, Masato",1995,JPN,01:55.3,25.67,29.44,29.84,m,Freestyle
"BROMER, Viktor B.",1993,DEN,01:55.6,26.57,29.47,30.09,m,Freestyle
"CROENEN, Louis",1994,BEL,01:56.0,25.77,29.87,30.11,m,Freestyle
"IRVINE, Grant",1991,AUS,01:56.1,25.87,29.51,30.51,m,Freestyle
"ZHENG WEN, Quah",1996,SGP,01:56.1,25.91,29.73,29.51,m,Freestyle
"KOPTELOV, Evgeny",1993,RUS,01:56.5,26.14,29.32,30.76,m,Freestyle
"SJOEDIN, Simon",1986,SWE,01:56.7,26.07,29.78,30.44,m,Freestyle
"DE DEUS, Leonardo",1991,BRA,01:56.8,25.93,29.73,30,m,Freestyle
"MARCIO, Kaio",1984,BRA,01:57.5,25.93,29.04,30.77,m,Freestyle
"GOMEZ NORIEGA, Jonathan Davi",1996,COL,01:57.5,26.35,29.26,30.73,m,Freestyle
"LI, Zhuhao",1999,CHN,01:57.6,25.56,29.45,30.84,m,Freestyle
"KENDERESI, Tamas",1996,HUN,01:54.7,25.92,29.45,30.08,m,Freestyle
"CSEH, Laszlo",1985,HUN,01:55.1,25.51,30.03,30.17,m,Freestyle
"LE CLOS, Chad Guy Bertrand",1992,RSA,01:55.6,25.56,29.49,30.09,m,Freestyle
"IRVINE, Grant",1991,AUS,01:55.6,25.7,29.34,30.21,m,Freestyle
"PHELPS, Michael",1985,USA,01:55.7,25.69,29.63,30.08,m,Freestyle
"SAKAI, Masato",1995,JPN,01:55.8,25.66,29.46,30.12,m,Freestyle
"BROMER, Viktor B.",1993,DEN,01:55.8,25.93,29.79,29.73,m,Freestyle
"SETO, Daiya",1994,JPN,01:55.8,25.39,29.78,30.3,m,Freestyle
"DE DEUS, Leonardo",1991,BRA,01:56.0,25.9,28.93,30.39,m,Freestyle
"ZHENG WEN, Quah",1996,SGP,01:56.0,26.39,29.23,29.78,m,Freestyle
"KOPTELOV, Evgeny",1993,RUS,01:56.1,26.1,29.86,30.35,m,Freestyle
"MARCIO, Kaio",1984,BRA,01:56.5,26.3,29.24,30.43,m,Freestyle
"SJOEDIN, Simon",1986,SWE,01:56.5,25.92,29.2,30.54,m,Freestyle
"CROENEN, Louis",1994,BEL,01:56.5,26.06,29.79,30.29,m,Freestyle
"GOMEZ NORIEGA, Jonathan Davi",1996,COL,01:56.6,26.29,28.89,30.42,m,Freestyle
"LI, Zhuhao",1999,CHN,01:56.7,25.95,29.72,30.45,m,Freestyle
"SWITKOWSKI, Jan",1994,POL,01:56.7,26.16,29.23,30.35,m,Freestyle
"DIMITRIADIS, Stefanos",1989,GRE,01:56.8,26.49,29.46,30.9,m,Freestyle
"MORGAN, David",1994,AUS,01:56.8,25.36,30.27,30.23,m,Freestyle
"SHIELDS, Thomas A",1991,USA,01:56.9,25.82,29.47,30.26,m,Freestyle
"PERALTA GALLEGO, Carlos",1994,ESP,01:57.0,26.01,29.64,30.11,m,Freestyle
"ZBOGAR, Robert",1989,SLO,01:57.0,25.77,30.24,29.78,m,Freestyle
"ROUSSEAU, Sebastien D",1990,RSA,01:57.3,26.02,29.72,30.17,m,Freestyle
"PAKHOMOV, Daniil",1998,RUS,01:57.4,26.08,28.95,30.94,m,Freestyle
"COELHO, Jordan",1992,FRA,01:58.6,26.29,30.41,30.56,m,Freestyle
"NEVO, Gal",1987,ISR,01:58.6,26.51,30.24,30.88,m,Freestyle
"WU, Yuhang",1997,CHN,01:59.0,27.23,29.8,30.91,m,Freestyle
"PRAKASH, Sajan",1993,IND,01:59.4,26.48,30.44,30.71,m,Freestyle
"ASHBY, Bradlee L",1995,NZL,02:01.2,26.37,31.03,30.99,m,Freestyle
"BELMONTE GARCIA, Mireia",1990,ESP,02:04.9,28.48,31.52,32.17,f,Freestyle
"GROVES, Madeline",1995,AUS,02:04.9,27.49,32.05,32.77,f,Freestyle
"HOSHI, Natsumi",1990,JPN,02:05.2,28.78,32.01,32.12,f,Freestyle
"ADAMS, Cammile",1991,USA,02:05.9,29.55,31.72,32.68,f,Freestyle
"ZHOU, Yilin",1992,CHN,02:07.4,28.72,32.86,32.52,f,Freestyle
"ZHANG, Yufei",1998,CHN,02:07.4,28.48,33.25,32.41,f,Freestyle
"FLICKINGER, Hali A",1994,USA,02:07.7,29.33,32.14,32.82,f,Freestyle
"THROSSELL, Brianna",1996,AUS,02:07.9,28.89,32.68,32.7,f,Freestyle
"GROVES, Madeline",1995,AUS,02:05.7,27.35,32.06,33.03,f,Freestyle
"BELMONTE GARCIA, Mireia",1990,ESP,02:06.1,28.86,32.09,32.47,f,Freestyle
"ZHOU, Yilin",1992,CHN,02:06.5,28.48,32.61,32.51,f,Freestyle
"HOSHI, Natsumi",1990,JPN,02:06.7,29.21,32.46,32.74,f,Freestyle
"ZHANG, Yufei",1998,CHN,02:07.0,28.52,32.55,32.9,f,Freestyle
"FLICKINGER, Hali A",1994,USA,02:07.0,28.75,31.73,33.2,f,Freestyle
"THROSSELL, Brianna",1996,AUS,02:07.2,28.73,32.5,32.66,f,Freestyle
"ADAMS, Cammile",1991,USA,02:07.2,29,32.17,32.96,f,Freestyle
"HASEGAWA, Suzuka",2000,JPN,02:07.3,29.13,32.04,33.04,f,Freestyle
"SZILAGYI, Liliana",1996,HUN,02:07.3,28.47,32.82,32.91,f,Freestyle
"HENTKE, Franziska",1989,GER,02:07.7,28.84,32.45,32.96,f,Freestyle
"VAN BERKEL, Martina Eva",1989,SUI,02:07.9,29.66,32.81,32.97,f,Freestyle
"AN, Sehyeon",1995,KOR,02:08.7,28.76,33.02,33.1,f,Freestyle
"POLIERI, Alessia",1994,ITA,02:09.4,29.66,33.14,32.99,f,Freestyle
"KLINAR, Anja",1988,SLO,02:09.4,29.26,32.73,33.34,f,Freestyle
"LACROIX, Audrey",1983,CAN,02:10.0,29.2,32.63,33.91,f,Freestyle
"BELMONTE GARCIA, Mireia",1990,ESP,02:06.6,29.08,32.47,32.55,f,Freestyle
"FLICKINGER, Hali A",1994,USA,02:06.7,28.76,31.86,32.4,f,Freestyle
"ADAMS, Cammile",1991,USA,02:06.7,29.11,32.15,32.56,f,Freestyle
"SZILAGYI, Liliana",1996,HUN,02:07.0,28.81,32.13,33.13,f,Freestyle
"GROVES, Madeline",1995,AUS,02:07.0,27.64,32.41,33.44,f,Freestyle
"HASEGAWA, Suzuka",2000,JPN,02:07.4,28.79,32.58,32.76,f,Freestyle
"HOSHI, Natsumi",1990,JPN,02:07.4,28.81,32.47,32.68,f,Freestyle
"ZHANG, Yufei",1998,CHN,02:07.6,28.64,32.98,32.69,f,Freestyle
"HENTKE, Franziska",1989,GER,02:07.6,28.86,32.42,33.37,f,Freestyle
"THROSSELL, Brianna",1996,AUS,02:07.8,28.92,33.03,32.54,f,Freestyle
"VAN BERKEL, Martina Eva",1989,SUI,02:08.0,29.36,33.02,32.52,f,Freestyle
"ZHOU, Yilin",1992,CHN,02:08.2,28.6,33.36,32.69,f,Freestyle
"AN, Sehyeon",1995,KOR,02:08.4,28.77,32.6,33.55,f,Freestyle
"KLINAR, Anja",1988,SLO,02:08.4,28.79,32.76,33.01,f,Freestyle
"POLIERI, Alessia",1994,ITA,02:08.9,29.66,32.9,33.16,f,Freestyle
"LACROIX, Audrey",1983,CAN,02:09.2,28.89,32.89,32.77,f,Freestyle
"PIROZZI, Stefania",1993,ITA,02:09.4,30.27,32.4,33.44,f,Freestyle
"GRANGEON, Lara",1991,FRA,02:09.7,29.82,32.61,33.86,f,Freestyle
"WILLMOTT, Aimee",1993,GBR,02:09.7,29.07,32.83,33.24,f,Freestyle
"IGNACIO SORRIBES, Judit",1994,ESP,02:09.8,29.05,33.07,33.17,f,Freestyle
"PARK, Jinyoung",1997,KOR,02:10.0,30.05,33.31,32.97,f,Freestyle
"USTUNDAG, Nida Eliz",1996,TUR,02:10.0,30.19,33.11,33.38,f,Freestyle
"PINTO, Andreina",1991,VEN,02:10.6,29.87,32.82,33.53,f,Freestyle
"MARANHAO MELO, Joanna",1987,BRA,02:10.7,29.83,32.54,34.3,f,Freestyle
"GASSON, Helena D",1994,NZL,02:12.2,29.66,33.87,33.59,f,Freestyle
"BARDACH, Virginia",1992,ARG,02:13.6,30.16,33.77,34.11,f,Freestyle
"FAR NUNEZ, Maria Fernanda",1998,PAN,02:23.9,31.03,36.12,38.15,f,Freestyle
"MILAK, Kristof",2000,HUN,01:54.9,25.15,29.29,29.73,m,Freestyle
"KESIL', Denys",2000,UKR,01:55.9,25.63,30.22,30.05,m,Freestyle
"BURDISSO, Federico",2001,ITA,01:57.2,25.06,29.75,29.91,m,Freestyle
"KUAN-HUNG, Wang",2002,TPE,01:57.5,26.1,29.66,30.67,m,Freestyle
"PARK, Junghun",2001,KOR,01:58.7,26.55,30.26,31.04,m,Freestyle
"ISHIKAWA, Shinnosuke",2000,JPN,01:59.4,26.13,29.19,31.28,m,Freestyle
"SIRE FIGUERAS, Ferran",2001,ESP,02:01.9,26.93,30.91,31.48,m,Freestyle
"JOHNSON, Jake",2000,USA,02:02.1,26.63,31.34,31.85,m,Freestyle
